datetime,pressure,temp,pressure_atmo,temp_atmo,wl_corr,wl_final,Q_mid,Q_low,Q_high
2025-07-31T03:00:00+00:00,708.7,0.893,660.808,8.053,47.89200000000005,62.12150000000008,1.0514912060333517,0.7360438442233461,1.3669385678433572
2025-07-31T04:00:00+00:00,718.442,1.073,660.808,8.453,57.634000000000015,71.86350000000004,1.683617789040429,1.1785324523283,2.1887031257525575
2025-07-31T05:00:00+00:00,732.733,1.523,660.808,9.15,71.92499999999995,86.15449999999998,2.9521924025750845,2.066534681802559,3.83785012334761
2025-07-31T06:00:00+00:00,737.925,1.603,660.108,9.47,77.81700000000001,92.04650000000004,3.603222285195564,2.5222555996368947,4.684188970754233
2025-07-31T07:00:00+00:00,736.817,1.5,660.4,9.9,76.41700000000003,90.64650000000006,3.4414516372576847,2.409016146080379,4.47388712843499
2025-07-31T08:00:00+00:00,737.225,1.463,661.275,9.923,75.95000000000005,90.17950000000008,3.388479949909358,2.3719359649365503,4.405023934882165
2025-07-31T09:00:00+00:00,732.733,1.283,661.567,9.267,71.16599999999994,85.39549999999997,2.873942360218773,2.011759652153141,3.736125068284405
2025-07-31T10:00:00+00:00,724.683,1.18,661.683,9.517,63.0,77.22950000000003,2.110294429165867,1.4772061004161068,2.743382757915627
2025-07-31T11:00:00+00:00,723.4,1.12,661.1,9.757,62.29999999999996,76.52949999999998,2.0513348576492083,1.4359344003544456,2.666735314943971
2025-07-31T12:00:00+00:00,734.717,1.203,661.392,10.233,73.32499999999993,87.55449999999996,3.0998541399282096,2.1698978979497467,4.029810381906673
2025-07-31T13:00:00+00:00,726.783,1.203,661.975,10.483,64.80799999999999,79.03750000000002,2.2672499905415,1.58707499337905,2.94742498770395
2025-07-31T14:00:00+00:00,723.925,1.157,662.15,10.15,61.77499999999998,76.00450000000001,2.007772307068154,1.405440614947708,2.6101039991886004
2025-07-31T15:00:00+00:00,719.258,1.017,663.142,9.733,56.11599999999999,70.34550000000002,1.573285328066255,1.1012997296463785,2.0452709264861317
2025-07-31T16:00:00+00:00,716.75,0.917,663.317,9.313,53.43299999999999,67.66250000000002,1.389150105673097,0.9724050739711678,1.8058951373750263
2025-07-31T17:00:00+00:00,715.758,0.86,663.142,9.117,52.61599999999999,66.84550000000002,1.3357947906899887,0.9350563534829921,1.7365332278969854
2025-07-31T18:00:00+00:00,713.892,0.79,662.85,8.843,51.04200000000003,65.27150000000006,1.2365189978178828,0.8655632984725179,1.6074746971632476
2025-07-31T19:00:00+00:00,713.367,0.743,662.267,8.023,51.09999999999991,65.32949999999994,1.2400956605363058,0.868066962375414,1.6121243586971976
2025-07-31T20:00:00+00:00,712.492,0.713,661.858,7.71,50.634000000000015,64.86350000000004,1.2115341599664367,0.8480739119765056,1.5749944079563678
2025-07-31T21:00:00+00:00,712.667,0.69,661.858,7.633,50.80900000000008,65.03850000000011,1.2222131730424999,0.8555492211297498,1.5888771249552498
2025-07-31T22:00:00+00:00,712.083,0.673,661.858,7.483,50.22500000000002,64.45450000000005,1.186794980869349,0.8307564866085443,1.5428334751301538
2025-07-31T23:00:00+00:00,712.083,0.65,661.275,7.257,50.80799999999999,65.03750000000002,1.222151990114937,0.8555063930804558,1.588797587149418
2025-08-01T00:00:00+00:00,712.083,0.62,661.683,7.157,50.39999999999998,64.62950000000001,1.1973426760431805,0.8381398732302263,1.5565454788561346
2025-08-01T01:00:00+00:00,711.675,0.597,661.392,6.96,50.2829999999999,64.51249999999993,1.1902845768633117,0.8331992038043181,1.5473699499223053
2025-08-01T02:00:00+00:00,711.675,0.597,661.392,7.08,50.2829999999999,64.51249999999993,1.1902845768633117,0.8331992038043181,1.5473699499223053
2025-08-01T03:00:00+00:00,711.792,0.76,661.567,7.353,50.22500000000002,64.45450000000005,1.186794980869349,0.8307564866085443,1.5428334751301538
2025-08-01T04:00:00+00:00,715.35,1.033,661.1,7.797,54.25,68.47950000000003,1.4437657849715138,1.0106360494800595,1.876895520462968
2025-08-01T05:00:00+00:00,729.583,1.197,661.1,8.43,68.48299999999995,82.71249999999998,2.6073832791950373,1.825168295436526,3.3895982629535486
2025-08-01T06:00:00+00:00,735.533,1.557,661.1,9.18,74.43299999999999,88.66250000000002,3.2198000568408007,2.2538600397885604,4.185740073893041
2025-08-01T07:00:00+00:00,737.4,1.603,660.983,9.89,76.41700000000003,90.64650000000006,3.4414516372576847,2.409016146080379,4.47388712843499
2025-08-01T08:00:00+00:00,742.358,1.68,660.4,10.04,81.95799999999997,96.1875,4.108124376422077,2.8756870634954534,5.3405616893487
2025-08-01T09:00:00+00:00,736.117,1.5,660.4,10.39,75.71699999999998,89.94650000000001,3.3622352228975294,2.3535646560282704,4.3709057897667885
2025-08-01T10:00:00+00:00,728.592,1.337,661.275,9.953,67.31700000000001,81.54650000000004,2.496368398432574,1.7474578789028017,3.2452789179623465
2025-08-01T11:00:00+00:00,724.1,1.283,661.1,10.43,63.0,77.22950000000003,2.110294429165867,1.4772061004161068,2.743382757915627
2025-08-01T12:00:00+00:00,732.267,1.36,661.392,11.063,70.875,85.10450000000003,2.844275730495264,1.9909930113466847,3.6975584496438434
2025-08-01T13:00:00+00:00,724.8,1.267,661.392,11.093,63.4079999999999,77.63749999999993,2.145123400580938,1.5015863804066565,2.7886604207552197
2025-08-01T14:00:00+00:00,722.525,1.197,661.275,10.877,61.25,75.47950000000003,1.9647703093610696,1.3753392165527487,2.5542014021693906
2025-08-01T15:00:00+00:00,718.267,1.05,661.975,10.587,56.29200000000003,70.52150000000006,1.5858476657591964,1.1100933660314374,2.0616019654869553
2025-08-01T16:00:00+00:00,716.342,0.86,662.15,10.053,54.19200000000001,68.42150000000004,1.4398467691629375,1.0078927384140561,1.871800799911819
2025-08-01T17:00:00+00:00,715.175,0.807,662.442,9.61,52.73299999999995,66.96249999999998,1.3433586905152302,0.9403510833606611,1.7463662976697993
2025-08-01T18:00:00+00:00,714.183,0.75,661.567,9.11,52.61599999999999,66.84550000000002,1.3357947906899887,0.9350563534829921,1.7365332278969854
2025-08-01T19:00:00+00:00,714.358,0.72,661.858,9.14,52.5,66.72950000000003,1.328320856498374,0.9298245995488617,1.7268171134478862
2025-08-01T20:00:00+00:00,714.767,0.703,661.567,8.803,53.200000000000045,67.42950000000008,1.3738056830029237,0.9616639781020465,1.7859473879038008
2025-08-01T21:00:00+00:00,713.6,0.673,661.1,8.563,52.5,66.72950000000003,1.328320856498374,0.9298245995488617,1.7268171134478862
2025-08-01T22:00:00+00:00,712.9,0.643,660.517,8.257,52.382999999999925,66.61249999999995,1.3208079979766658,0.924565598583666,1.7170503973696656
2025-08-01T23:00:00+00:00,712.9,0.633,660.517,8.08,52.382999999999925,66.61249999999995,1.3208079979766658,0.924565598583666,1.7170503973696656
2025-08-02T00:00:00+00:00,713.367,0.61,660.4,7.83,52.96699999999999,67.19650000000001,1.3585635409807317,0.9509944786865121,1.7661326032749514
2025-08-02T01:00:00+00:00,713.483,0.61,660.983,7.663,52.5,66.72950000000003,1.328320856498374,0.9298245995488617,1.7268171134478862
2025-08-02T02:00:00+00:00,714.067,0.643,661.975,7.507,52.09199999999999,66.32150000000001,1.3022330659608827,0.9115631461726178,1.6929029857491475
2025-08-02T03:00:00+00:00,714.183,0.737,661.975,7.767,52.20799999999997,66.4375,1.3096185634726665,0.9167329944308664,1.7025041325144665
2025-08-02T04:00:00+00:00,714.592,0.977,662.15,7.58,52.44200000000001,66.67150000000004,1.3245933335665823,0.9272153334966076,1.721971333636557
2025-08-02T05:00:00+00:00,717.158,1.017,661.683,7.89,55.47500000000002,69.70450000000005,1.5280389968487726,1.0696272977941408,1.9864506959034045
